Kimberley Fredy	Yo La Tengo	4
Rhys Pearne	Purple City	4
Kimberly Bartlomieczak	Sonny & Cher	5
Bald Shrubshall	The Paragons	4
Othilia Denness	Count Basie Big Band	3
Mandi Yanin	dd/mm/yyyy	3
Tan Cullip	Proyecto Uno	4
Claudianus Woolger	Valeria	4
Sandra Doddridge	The Perishers	4
Hakim Chainey	Cypress Hill	4
Simone Barehead	Roi Heenok	3
Xaviera Jacquest	Primal Fear	3
May Filipczak	Burl Ives	5
Margarethe Waleworke	Dritte Wahl	5
Fabian Seagar	Stephanie Mills	4
Dene Jacobsohn	The Andrews Sisters	3
Maddie Lavies	The String Cheese Incident	4
Evie Bogart	Jean-Michel Jarre	5
Neila McCorkell	Wynonie Harris	3
