Kimberley Fredy	Jimmy Somerville	3
Rhys Pearne	Sepultura	3
Kimberly Bartlomieczak	Alan Parsons	3
Bald Shrubshall	Pet Shop Boys	4
Othilia Denness	Charles Mingus	4
Mandi Yanin	The Andrews Sisters	6
Tan Cullip	Mantovani	4
Claudianus Woolger	Burl Ives	4
Sandra Doddridge	Pet Shop Boys	4
Hakim Chainey	Queen	3
Simone Barehead	Edith Márquez	3
Xaviera Jacquest	The Golden Gate Quartet	3
May Filipczak	Absolute	3
Margarethe Waleworke	Rush	3
Fabian Seagar	Career Suicide	4
Dene Jacobsohn	Howlin' Wolf	4
Maddie Lavies	Luna	3
Evie Bogart	Howlin' Wolf	4
Neila McCorkell	Jim Lauderdale	4
Titos Hordell	Ironik	4
Emilio Rupert	Candy Dulfer	4
Sharleen Mc Caughan	PMMP	3
Elvin Pfeffel	Galactic Cowboys	3
Fonzie Gerriet	Jimi Tenor	3
Menard Cases	Fletcher Henderson	4
Nellie Lyver	Gavin DeGraw	4
Rebeca Irnis	Rev. Gary Davis	3
Broderick Devers	The Bad Plus	4
Verney Helks	Nnenna Freelon	4
Charline Dahlgren	Foetus	3
Omar Perott	Piemont	4
Celinka Littlefield	Bryan Adams	5
Ferrell Stuttman	Charlie Parker	4
Alden Fehners	Blind Melon	4
Cally Baggott	American Hi-Fi	4
Fredrika Sabbatier	Nas	3
Ezri Brandino	The Duke Spirit	3
Filide Yarnall	Here And Now	3
Maudie Knutton	Fanny	4
Charil Dumblton	Amber	4
Ky D'Alwis	Curtis Salgado	5
Hedy Semens	Primal Fear	3
Nickey Ganforth	Odd Nosdam	5
Charles Montez	Bryan Adams	4
Ximenes Torresi	Fightstar	4
Rusty Jeeves	Suzy Bogguss	3
Ezri Barnett	Sightings	4
Esdras Baudry	Charles Mingus	4
Moll Manuele	Norman Brown	4
Blanca Dahlborg	Caedmon's Call	3
Maryjane Blowing	Patrick Doyle	4
Ninette O'Crigan	At The Drive-In	4
Gavan Galliford	Proyecto Uno	3
Bertie Papez	Tragedy Khadafi	5
Perkin Blinde	Bryan Savage	4
Babbette Brooking	Pasión Vega	4
Enrico Janecki	The Andrews Sisters	4
Dorie Olive	Roberto Silva	3
Port Craigg	Gloria Gaynor	4
Betta Frend	Andy Yorke	3
Flore Llywarch	Tuomari Nurmio	4
Percival Riglesford	The Herbaliser	4
Wynne Billiard	Sepultura	4
Kathi Tremblot	Railroad Earth	3
Sallyann Rubberts	Franco De Vita	4
Antonella Adolthine	Les McCann	4
Alford Haugeh	Loose Ends	6
Florian Cockley	Horace Silver	3
Josey Randell	Earth  Wind & Fire	3
Frans Gieraths	Galactic Cowboys	3
Ricky Antoniou	Da Weasel	4
Katharyn Nizard	The Golden Gate Quartet	3
Rhoda Blyth	Pet Shop Boys	3
Shayna Coburn	Christopher Cross	3
Avrit Kobierra	The Andrews Sisters	3
Afton Latty	Minus 8	3
Anet MacCrachen	Bryan Savage	4
Rosene Handover	Sepultura	4
Roch Klamp	Inkubus Sukkubus	3
Jaquenetta Housby	Bryan Savage	3
Selena Mulchrone	Bethany Dillon	4
Emilee Radish	Bryan Adams	4
Flory Starkey	Gavin DeGraw	4
Cody Ughelli	Mr. Shadow	3
Stacee Iveson	Art Tatum	4
Win Hubberstey	Orson	3
Adelaide Seldon	Alvin And The Chipmunks	4
Hattie Hunnawill	Flotsam and Jetsam	4
Guntar Renhard	The Machines	3
Farlie Perez	PMMP	3
Hamlen Please	Audiovent	4
Marcile Ostick	We Shot The Moon	3
Derwin Fitchet	Kid Koala	3
Edouard Stredder	Ruff Ryders	4
Heriberto Glasebrook	Cypress Hill	4
Lion Le Conte	Primal Fear	5
Laurent Bruhke	Hank Snow	4
Danell Probate	The Golden Gate Quartet	3
Darsey Musslewhite	Career Suicide	4
Willa Brager	The String Cheese Incident	5
Lauren Ortiger	Mothboy	3
Suzette Stopford	The Bear Quartet	3
Brenn Rainsden	Chisel	3
Alessandro Chevalier	Hank Marvin	4
Jarib Lunge	Billy Cobham	4
Bennie Rosenblath	Earth  Wind & Fire	3
Harri Shearman	The Duhks	4
Petey Menear	Morrissey	4
Caressa O' Brian	Rush	4
Charlotte Taplin	Blind Melon	3
Stanislaw Whiskin	Louisiana Red	5
Raviv Santus	The Golden Gate Quartet	4
Bibby Mustarde	Stephen Duffy	3
Freddie Warlton	Mory Kanté	3
Rosette Heffer	Caedmon's Call	4
Zachary McBeath	Smokey Robinson and the Miracles	3
Levin Anderton	Bruce Dickinson	3
Ofelia Dovinson	Toto	3
Chaim Sharple	Kyuss	4
Ernaline Capponeer	Seventeen Evergreen	3
Ches Fallows	Horace Silver	4
Merola Vanyutin	Horace Silver	3
Ewart Hallums	Basic Vocab	3
Audrey Abazi	Horace Silver	4
Merla Szimon	The Andrews Sisters	5
Thor Broadbear	Pepe Pinto	5
Giralda Burgane	The Bear Quartet	3
Morgen Matchell	Traffic	4
Linnea Benitti	Rush	3
Kiley Mustill	Hank Snow	5
Robbie Oakden	Bryan Adams	5
Eartha Ledwith	Fate	4
Maggy Theuff	Audiovent	3
Ethelda Castangia	MC Eiht	4
Cedric Bastie	Pet Shop Boys	6
Jozef Bern	Luna	3
Salvidor Oxborrow	The Pointer Sisters	4
Jillana Healings	Jean-Michel Jarre	4
Ceciley Lurriman	Dimentia 13	3
Hersch Shepland	Necro	3
Alvan Skill	Cypress Hill	4
Hyacinthie Alishoner	dd/mm/yyyy	3
Lorant Coltherd	East Side Beat	3
Kipp McCosker	Third Day	4
Francisca Klimek	The Pointer Sisters	3
Florette Demanche	The Nitty Gritty Dirt Band	4
Jere Lorentzen	La Casa Azul	4
Lynea Rowat	Captain Jack	3
Trstram Sutter	Black Oak Arkansas	4
Yovonnda Ivanuschka	Helium Vola	3
Angelo Coggon	The Golden Gate Quartet	3
Jarad Kovacs	Quatuor Mosaïques	4
Arleta Tynnan	The Golden Gate Quartet	4
Rafaelia Kalkofer	Fightstar	4
Alix Lumm	Sly & The Family Stone	4
Goldie Meriet	System F	4
Leelah Bovis	Cledus T. Judd	4
Adolphus Faragher	A Life Once Lost	3
Dex Galvin	Leatherface	4
Blane Chastagnier	Cab Calloway	4
Corabella Simonazzi	Thunderstone	3
Bryn Siuda	Cypress Hill	4
Cassi Tresler	LCD Soundsystem	4
Alexander Kliement	Blackmore's Night	4
Camala Elkington	Bryan Adams	5
Hyacintha Vanyutin	Zao	4
Tommie Galiero	Caedmon's Call	6
Gherardo Cornfoot	The Coasters	3
Lilllie Sinott	Edith Márquez	3
Blayne Broad	Jorge Ben Jor	4
Hyacinthia Saggers	Miquel Brown	4
Eleanora Farrey	Gerald Albright	3
Rey Bradberry	Tahiti 80	3
Towny Faint	Guus Meeuwis	4
Boonie Josebury	Ethel Waters	3
Sasha Ungerechts	Tom Robinson Band	4
Rollin Costigan	Jennifer Hudson	3
Adelind Barniss	Steve Bug	4
Laney Sponton	Cypress Hill	4
Tim Beddows	24-7 Spyz	4
Reamonn Simpson	Alkaline Trio	3
Harli Fish	Wynonie Harris	3
Winslow Barstock	Stephen Duffy	4
Kin McGragh	Mickey Gilley	6
Morey Gyver	Hank Marvin	4
Tammie Wolfarth	The Golden Gate Quartet	4
Merell Woollhead	Cab Calloway	4
Jocko Riccard	Horace Silver	3
Mamie Martindale	The String Cheese Incident	4
Bonita Soars	Pet Shop Boys	4
Bran Scouler	Charles Mingus	4
Ivonne Spearman	Tommy Flanagan	5
Armstrong Eskell	studio one	3
Murvyn Gee	The Herbaliser	4
Lois Narup	Mis-Teeq	4
Biron Gresch	Cab Calloway	3
Bess Byars	Charles Mingus	4
Shantee Capelle	Section 25	4
Gaylord Sherwen	Cypress Hill	3
Demott Imlen	Yo La Tengo	4
Rori Kennedy	Merle Travis	4
Carena Quogan	Cledus T. Judd	4
Cooper Carberry	Cab Calloway	3
Matilda Bompas	Marc Van Linden and Milkwish	3
Sibylla Verick	Zeke	4
Emmalyn Killwick	Solomon Burke	4
Bettine Brotherhood	Pablo Moses	3
Wilbert Aleso	Leng Tch'e	3
Lavinia Elsby	Julie Andrews	5
Aurea Munton	Perry Como	4
Gusti Sparke	The String Cheese Incident	4
